run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
60,1,lp2,0,NaN,NaN,0,0,0,0
60,1,le,0,NaN,NaN,0,0,0,0
60,1,le2,0.17344847335180358,0.3287425696956484,0.23878839343539943,0.22708448359988492,0.12808533824610965,0.17344847335180358,0.0031768196037138675
60,1,sl,0.02624318379656091,0.08144428494215569,0.046231562150942616,0.03969556279760583,0.020249692876406735,0.02624318379656091,0.014402564635706836
60,1,sl2,0.02624318379656091,0.08144428494215569,0.046231562150942616,0.03969556279760583,0.020249692876406735,0.02624318379656091,0.014402564635706836
59,1,wt,0.3457820237978711,1,0.5880323322725299,0.5138752304359886,0.3457820237978711,0.3457820237978711,1.937346291099139e-9
59,1,wt2,0,NaN,NaN,0,0,0,0
59,1,l,0.0022698153047924475,0.005531557009960399,0.0035433900096574276,0.003218821574967438,0.0016120051659873386,0.0022698153047924475,0.0012457010510544043
59,1,l2,0.13454550854496206,0.24318831622951337,0.18088641651404597,0.17324313330334246,0.09483644838659877,0.13454550854496206,0.008181720800560942
59,1,fg,0.004453595456938191,0.010679448890107454,0.006896516878800933,0.006285839645857043,0.0031528289114125018,0.004453595456938191,0.0024441850092231715
59,1,fg2,0.12535656353431943,0.21701846135547825,0.1649384386340196,0.15891748265098946,0.08631741443062314,0.12535656353431943,0.009310680526346388
59,1,eb,0,NaN,NaN,0,0,0,0
59,1,eb2,0.3438066850904516,0.9912942265662734,0.5837924134356779,0.5105435536885948,0.34277172384123133,0.3438066850904516,2.3527623253243123e-9
59,1,im,0,NaN,NaN,0,0,0,0
59,1,im2,0,NaN,NaN,0,0,0,0
59,1,lp,0,NaN,NaN,0,0,0,0
59,1,lp2,0,NaN,NaN,0,0,0,0
59,1,le,0.001209119117920762,0.0027785426053839254,0.001832918160782709,0.0016849919663410576,8.432063811596395e-4,0.001209119117920762,6.635786413386594e-4
59,1,le2,0.1365045940415397,0.2510117704533896,0.1851060772243529,0.17684032451143852,0.09699661905041297,0.1365045940415397,0.0055642281063053136
59,1,sl,0.017241869436928355,0.0381448620034848,0.02564544268196075,0.023748963452060613,0.012017179504454375,0.017241869436928355,0.011557570714702297
59,1,sl2,0.00949096675311335,0.022456183850031543,0.014599003196192891,0.013342716974669384,0.006716164427893052,0.00949096675311335,0.005208752991890147
58,1,wt,0.34859770280776237,1,0.5904216313853705,0.5169780462802014,0.34859770280776237,0.34859770280776237,1.953121967425006e-9
58,1,wt2,0,NaN,NaN,0,0,0,0
