run,alpha,method,accuracies,c_count
44,1,sl2,0.26,3
43,1,wt,0.28,2
43,1,wt2,0.26,1
43,1,l,0.32,3
43,1,l2,0.4,7
43,1,fg,0.34,3
43,1,fg2,0.36,7
43,1,eb,0.26,1
43,1,eb2,0.88,43
43,1,im,0.26,1
43,1,im2,0.26,1
43,1,lp,0.26,1
43,1,lp2,1,50
43,1,sl,0.32,3
43,1,sl2,0.32,3
42,1,wt,0.26,2
42,1,wt2,0.24,1
42,1,l,0.32,3
42,1,l2,0.4,7
42,1,fg,0.26,2
42,1,fg2,0.36,7
42,1,eb,0.24,1
42,1,eb2,1,50
42,1,im,0.24,1
42,1,im2,0.24,1
42,1,lp,0.24,1
42,1,lp2,1,50
42,1,sl,0.26,3
42,1,sl2,0.3,3
41,1,wt,0.36,2
41,1,wt2,0.24,1
41,1,l,0.34,3
41,1,l2,0.4,7
41,1,fg,0.34,2
41,1,fg2,0.4,6
41,1,eb,0.24,1
41,1,eb2,0.9,43
41,1,im,0.24,1
41,1,im2,0.24,1
41,1,lp,0.24,1
41,1,lp2,1,50
41,1,sl,0.34,2
41,1,sl2,0.36,2
40,1,wt,0.28,2
40,1,wt2,0.28,1
40,1,l,0.34,3
40,1,l2,0.44,8
40,1,fg,0.32,2
40,1,fg2,0.42,7
40,1,eb,0.28,1
40,1,eb2,0.9,44
40,1,im,0.28,1
40,1,im2,0.28,1
40,1,lp,0.28,1
40,1,lp2,1,50
40,1,sl,0.38,3
40,1,sl2,0.32,3
39,1,wt,0.32,3
39,1,wt2,0.3,1
39,1,l,0.32,3
39,1,l2,0.48,7
39,1,fg,0.32,2
39,1,fg2,0.38,7
39,1,eb,0.3,1
39,1,eb2,1,50
39,1,im,0.3,1
39,1,im2,0.3,1
39,1,lp,0.3,1
39,1,lp2,1,50
39,1,sl,0.34,3
39,1,sl2,0.34,3
38,1,wt,0.36,2
38,1,wt2,0.32,1
38,1,l,0.36,3
38,1,l2,0.36,7
38,1,fg,0.34,2
38,1,fg2,0.36,6
38,1,eb,0.32,1
38,1,eb2,0.98,49
38,1,im,0.32,1
38,1,im2,0.32,1
38,1,lp,0.32,1
38,1,lp2,1,50
38,1,sl,0.34,3
38,1,sl2,0.36,4
37,1,wt,0.28,2
37,1,wt2,0.28,1
37,1,l,0.36,3
37,1,l2,0.42,6
37,1,fg,0.38,2
37,1,fg2,0.4,7
37,1,eb,0.28,1
37,1,eb2,1,50
37,1,im,0.28,1
37,1,im2,0.28,1
37,1,lp,0.28,1
37,1,lp2,1,50
37,1,sl,0.32,3
37,1,sl2,0.32,3
36,1,wt,0.32,2
36,1,wt2,0.3,1
36,1,l,0.32,2
36,1,l2,0.46,8
36,1,fg,0.32,2
36,1,fg2,0.46,8
36,1,eb,0.3,1
36,1,eb2,0.92,44
36,1,im,0.3,1
36,1,im2,0.3,1
36,1,lp,0.3,1
36,1,lp2,1,50
36,1,sl,0.32,2
36,1,sl2,0.3,2
35,1,wt,0.36,3
35,1,wt2,0.32,1
35,1,l,0.32,4
35,1,l2,0.44,8
35,1,fg,0.32,2
35,1,fg2,0.42,7
35,1,eb,0.32,1
35,1,eb2,0.98,48
35,1,im,0.32,1
35,1,im2,0.32,1
35,1,lp,0.32,1
35,1,lp2,1,50
35,1,sl,0.32,3
35,1,sl2,0.34,3
34,1,wt,0.38,2
34,1,wt2,0.34,1
34,1,l,0.36,2
34,1,l2,0.44,7
34,1,fg,0.36,2
34,1,fg2,0.44,8
34,1,eb,0.34,1
34,1,eb2,1,50
34,1,im,0.34,1
34,1,im2,0.34,1
34,1,lp,0.34,1
34,1,lp2,1,50
34,1,sl,0.36,3
34,1,sl2,0.36,3
33,1,wt,0.34,2
33,1,wt2,0.28,1
33,1,l,0.32,3
33,1,l2,0.4,8
33,1,fg,0.3,2
33,1,fg2,0.36,6
33,1,eb,0.28,1
33,1,eb2,0.92,44
33,1,im,0.28,1
33,1,im2,0.28,1
33,1,lp,0.28,1
33,1,lp2,1,50
33,1,sl,0.32,2
33,1,sl2,0.3,2
32,1,wt,0.3,3
32,1,wt2,0.26,1
32,1,l,0.38,4
32,1,l2,0.4,8
32,1,fg,0.3,2
32,1,fg2,0.42,7
32,1,eb,0.26,1
32,1,eb2,0.92,45
32,1,im,0.26,1
32,1,im2,0.26,1
32,1,lp,0.26,1
32,1,lp2,1,50
32,1,sl,0.38,4
32,1,sl2,0.38,4
31,1,wt,0.32,2
31,1,wt2,0.28,1
31,1,l,0.32,3
31,1,l2,0.34,5
31,1,fg,0.3,2
31,1,fg2,0.34,5
31,1,eb,0.28,1
31,1,eb2,0.98,48
31,1,im,0.28,1
31,1,im2,0.28,1
31,1,lp,0.28,1
31,1,lp2,1,50
31,1,sl,0.3,2
31,1,sl2,0.3,2
30,1,wt,0.32,2
30,1,wt2,0.28,1
30,1,l,0.34,3
30,1,l2,0.36,5
30,1,fg,0.3,2
30,1,fg2,0.38,7
30,1,eb,0.28,1
30,1,eb2,0.9,43
30,1,im,0.28,1
30,1,im2,0.28,1
30,1,lp,0.28,1
30,1,lp2,1,50
30,1,sl,0.34,3
30,1,sl2,0.34,3
29,1,wt,0.28,3
29,1,wt2,0.24,1
29,1,l,0.32,3
29,1,l2,0.38,6
29,1,fg,0.3,2
29,1,fg2,0.38,8
29,1,eb,0.24,1
29,1,eb2,0.92,45
29,1,im,0.24,1
29,1,im2,0.24,1
29,1,lp,0.24,1
29,1,lp2,1,50
29,1,sl,0.34,3
29,1,sl2,0.34,3
28,1,wt,0.36,3
28,1,wt2,0.32,1
28,1,l,0.36,3
28,1,l2,0.44,7
28,1,fg,0.34,2
28,1,fg2,0.38,6
28,1,eb,0.32,1
