run,alpha,method,accuracies
939,1,fg,0.36
939,1,fg2,0.4
939,1,eb,0.34
939,1,eb2,0.92
939,1,im,0.34
939,1,im2,0.34
939,1,lp,0.34
939,1,lp2,1
939,1,sl,0.44
939,1,sl2,0.4
938,1,wt,0.36
938,1,wt2,0.3
938,1,l,0.3
938,1,l2,0.34
938,1,fg,0.3
938,1,fg2,0.42
938,1,eb,0.3
938,1,eb2,0.96
938,1,im,0.3
938,1,im2,0.3
938,1,lp,0.3
938,1,lp2,1
938,1,sl,0.32
938,1,sl2,0.32
937,1,wt,0.3
937,1,wt2,0.26
937,1,l,0.32
937,1,l2,0.36
937,1,fg,0.34
937,1,fg2,0.4
937,1,eb,0.26
937,1,eb2,0.96
937,1,im,0.26
937,1,im2,0.26
937,1,lp,0.26
937,1,lp2,1
937,1,sl,0.4
937,1,sl2,0.4
936,1,wt,0.36
936,1,wt2,0.3
936,1,l,0.36
936,1,l2,0.42
936,1,fg,0.4
936,1,fg2,0.42
936,1,eb,0.3
936,1,eb2,0.92
936,1,im,0.3
936,1,im2,0.3
936,1,lp,0.3
936,1,lp2,1
936,1,sl,0.38
936,1,sl2,0.38
935,1,wt,0.38
935,1,wt2,0.28
935,1,l,0.4
935,1,l2,0.4
935,1,fg,0.38
935,1,fg2,0.46
935,1,eb,0.28
935,1,eb2,0.98
935,1,im,0.28
935,1,im2,0.28
935,1,lp,0.28
935,1,lp2,1
935,1,sl,0.4
935,1,sl2,0.4
934,1,wt,0.36
934,1,wt2,0.36
934,1,l,0.36
934,1,l2,0.46
934,1,fg,0.36
934,1,fg2,0.4
934,1,eb,0.36
934,1,eb2,0.98
934,1,im,0.36
934,1,im2,0.36
934,1,lp,0.36
934,1,lp2,1
934,1,sl,0.4
934,1,sl2,0.36
933,1,wt,0.34
933,1,wt2,0.28
933,1,l,0.38
933,1,l2,0.4
933,1,fg,0.34
933,1,fg2,0.38
933,1,eb,0.28
933,1,eb2,0.94
933,1,im,0.28
933,1,im2,0.28
933,1,lp,0.28
933,1,lp2,1
933,1,sl,0.34
933,1,sl2,0.32
932,1,wt,0.28
932,1,wt2,0.26
932,1,l,0.34
932,1,l2,0.42
932,1,fg,0.28
932,1,fg2,0.42
932,1,eb,0.26
932,1,eb2,0.9
932,1,im,0.26
932,1,im2,0.26
932,1,lp,0.26
932,1,lp2,1
932,1,sl,0.26
932,1,sl2,0.3
931,1,wt,0.3
931,1,wt2,0.3
931,1,l,0.32
931,1,l2,0.4
931,1,fg,0.32
931,1,fg2,0.38
931,1,eb,0.3
931,1,eb2,0.98
931,1,im,0.3
931,1,im2,0.3
931,1,lp,0.3
931,1,lp2,1
931,1,sl,0.34
931,1,sl2,0.34
930,1,wt,0.28
930,1,wt2,0.26
930,1,l,0.32
930,1,l2,0.36
930,1,fg,0.3
930,1,fg2,0.4
930,1,eb,0.26
930,1,eb2,1
930,1,im,0.26
930,1,im2,0.26
930,1,lp,0.26
930,1,lp2,1
930,1,sl,0.32
930,1,sl2,0.32
929,1,wt,0.3
929,1,wt2,0.26
929,1,l,0.3
929,1,l2,0.44
929,1,fg,0.32
929,1,fg2,0.44
929,1,eb,0.26
929,1,eb2,0.88
929,1,im,0.26
929,1,im2,0.26
929,1,lp,0.26
929,1,lp2,1
929,1,sl,0.36
929,1,sl2,0.36
928,1,wt,0.38
928,1,wt2,0.34
928,1,l,0.4
928,1,l2,0.4
928,1,fg,0.4
928,1,fg2,0.42
928,1,eb,0.34
928,1,eb2,0.94
928,1,im,0.34
928,1,im2,0.34
928,1,lp,0.34
928,1,lp2,1
928,1,sl,0.38
928,1,sl2,0.4
927,1,wt,0.26
927,1,wt2,0.26
927,1,l,0.34
927,1,l2,0.38
927,1,fg,0.26
927,1,fg2,0.44
927,1,eb,0.26
927,1,eb2,0.88
927,1,im,0.26
927,1,im2,0.26
927,1,lp,0.26
927,1,lp2,1
927,1,sl,0.34
927,1,sl2,0.34
926,1,wt,0.3
926,1,wt2,0.3
926,1,l,0.32
926,1,l2,0.38
926,1,fg,0.3
926,1,fg2,0.42
926,1,eb,0.3
926,1,eb2,0.94
926,1,im,0.3
926,1,im2,0.3
926,1,lp,0.3
926,1,lp2,1
926,1,sl,0.3
926,1,sl2,0.3
925,1,wt,0.28
925,1,wt2,0.26
925,1,l,0.28
925,1,l2,0.36
925,1,fg,0.26
925,1,fg2,0.38
925,1,eb,0.26
925,1,eb2,1
925,1,im,0.26
925,1,im2,0.26
925,1,lp,0.26
925,1,lp2,1
925,1,sl,0.32
925,1,sl2,0.32
924,1,wt,0.3
924,1,wt2,0.26
924,1,l,0.36
924,1,l2,0.38
924,1,fg,0.32
924,1,fg2,0.36
924,1,eb,0.26
924,1,eb2,0.98
924,1,im,0.26
924,1,im2,0.26
924,1,lp,0.26
924,1,lp2,1
924,1,sl,0.34
924,1,sl2,0.34
923,1,wt,0.3
923,1,wt2,0.3
923,1,l,0.36
923,1,l2,0.44
923,1,fg,0.32
923,1,fg2,0.42
923,1,eb,0.3
923,1,eb2,0.92
923,1,im,0.3
923,1,im2,0.3
923,1,lp,0.3
923,1,lp2,1
923,1,sl,0.34
923,1,sl2,0.3
922,1,wt,0.32
922,1,wt2,0.32
922,1,l,0.38
922,1,l2,0.38
922,1,fg,0.34
922,1,fg2,0.38
922,1,eb,0.32
922,1,eb2,0.96
922,1,im,0.32
922,1,im2,0.32
922,1,lp,0.32
922,1,lp2,1
922,1,sl,0.36
922,1,sl2,0.36
921,1,wt,0.36
921,1,wt2,0.34
921,1,l,0.38
921,1,l2,0.44
921,1,fg,0.34
921,1,fg2,0.46
921,1,eb,0.34
921,1,eb2,0.94
921,1,im,0.34
921,1,im2,0.34
921,1,lp,0.34
921,1,lp2,1
921,1,sl,0.36
921,1,sl2,0.36
920,1,wt,0.34
920,1,wt2,0.26
920,1,l,0.34
920,1,l2,0.38
920,1,fg,0.28
920,1,fg2,0.38
920,1,eb,0.26
920,1,eb2,0.94
920,1,im,0.26
920,1,im2,0.26
920,1,lp,0.26
920,1,lp2,1
920,1,sl,0.32
920,1,sl2,0.34
919,1,wt,0.32
919,1,wt2,0.3
919,1,l,0.34
919,1,l2,0.4
919,1,fg,0.32
919,1,fg2,0.4
